"ID","Clee","Nombre de la Unidad Económica","Razón social","Código de la clase de actividad SCIAN","Nombre de clase de la actividad","Descripcion estrato personal ocupado","Tipo de vialidad","Nombre de la vialidad","Tipo de entre vialidad 1","Nombre de entre vialidad 1","Tipo de entre vialidad 2","Nombre de entre vialidad 2","Tipo de entre vialidad 3","Nombre de entre vialidad 3","Número exterior o kilómetro","Letra exterior","Edificio","Edificio Piso","Número interior","Letra interior","Tipo de asentamiento humano","Nombre de asentamiento humano","Tipo centro comercial","Corredor industrial, centro comercial o mercado público","Número de local","Código Postal","Clave entidad","Entidad federativa","Clave municipio","Municipio","Clave localidad","Localidad","Área geoestadística básica ","Manzana","Número de teléfono","Correo electrónico","Sitio en Internet","Tipo de establecimiento","Latitud","Longitud","Fecha de incorporación al DENUE"
"11816542","19046722511003055000038877S6"," RESTAURANT IHOP","FAMILY DINE FOODS SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","51 a 100 personas","CALLE","Atenea","CALLE","Artemisa","CALLE","Zeus","CALLE","Triton","700",,,,,,"COLONIA","BOSQUES DEL PONIENTE",,,,,"19","NUEVO LEÓN   ","046","San Nicolás de los Garza","0001","San Nicolás de los Garza","1055","006",,"CONTADOR1.ALIMENTOS@GGALIMENTOS.COM",,"Fijo","25.73596114","-100.26602108","2025-04"
"6699522","19039722514010275012028201S0","1516 NUEVO SUR MTY","ESPECIALISTAS EN RESTAURANTES DE COMIDA ESTILO ASIATICA SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","REVOLUCIÓN","AVENIDA","JOSÉ ALVARADO","CALLE","BEREL","PRIVADA","AGUSTÍN LARA","2703",,,,,,"COLONIA","LADRILLERA",,,,"64830","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","445A","001",,"TUOPINIO@PFCHANGSMEXICO.COM.MX","WWW.PFCHANGSMEXICO.COM.MX","Fijo","25.65957074","-100.28183074","2016-01"
"6845984","19019722518000203011028201S7","1521 SAN PEDRO MTY","ESPECIALISTAS EN RESTAURANTES DE COMIDA ESTILO ASIATICA SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","JOSÉ VASCONCELOS","AVENIDA","MANUEL GÓMEZ MORÍN","PRIVADA","RÍO ROSAS","PRIVADA","MARÍA DE LOS ÁNGELES","402",,,,,,"COLONIA","DEL VALLE","CENTRO Y PLAZA COMERCIAL","SAN PEDRO MONTERREY","213-214 PA","66220","19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0242","013",,"TUOPINIO@PFCHANGSMEXICO.COM.MX","WWW.PFCHANGSMEXICO.COM.MX","Fijo","25.65250373","-100.35871346","2018-03"
"9455510","19039722511011064000028201S3","1529 GALERIAS MTY","ESPECIALISTAS EN RESTAURANTES DE COMIDA ESTILO ASIATICA SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","INSURGENTES","CALLE","FELIPE DE JESÚS BENAVIDES","AVENIDA","DOCTOR JOSÉ ELEUTERIO GONZÁLEZ","AVENIDA","GENERAL PABLO GONZÁLEZ GARZA","2500",,,,,,"COLONIA","VISTA HERMOSA","CENTRO Y PLAZA COMERCIAL","GALERIAS MONTERREY","SN","64620","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1629","019",,"TUOPINION@PFCHANGSMEXICO.COM.MX","WWW.PFCHANGSMEXICO.COM.MX","Fijo","25.68246835","-100.35513474","2023-11"
"9895238","19026722517006062000000000U8","1LIKE PIZZA",,"722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","6 a 10 personas","AVENIDA","BENITO JUAREZ","AVENIDA","GENERAL LAZARO CARDENAS","CALLE","LOS OLMOS","CALLE","LOS ALAMOS","1851",,"HEB GUADALUPE","PLANTA BAJA","20","L20","COLONIA","EL SABINO","EDIFICIO COMERCIAL Y DE SERVICIOS","HEB SUCURSAL GUADALUPE","L20","67150","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","0478","015","8122067224","PIZZA.DOCUMENTOS@GMAIL.COM",,"Fijo","25.67801709","-100.23207445","2024-11"
"9984337","19026722516001991000000000U5","2028 FRIES",,"722518","Restaurantes que preparan otro tipo de alimentos para llevar","0 a 5 personas","CALLE","CARRETERA A REYNOSA","AVENIDA","MAESTRO ISRAEL CAVAZOS GARZA","CALLE","HIERRO","CALLE","NINGUNO","12001",,"RE219","PISO 1",,,"SUPERMANZANA","MULTI COMERCIAL GUADALUPE","CENTRO Y PLAZA COMERCIAL","MULTI COMERCIAL GUADALUPE","219","67190","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","1086","001",,,,"Fijo","25.66616375","-100.17062097","2024-11"
"6371695","19039722110002494001003389S4","50212 MONTERREY GONZALITOS","GRUPO AMIGOS DE SAN ANGEL SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","11 a 30 personas","AVENIDA","DOCTOR JOSÉ ELEUTERIO GONZÁLEZ (AV CHAPULTEPEC)","CALLE","LOMA LARGA","AVENIDA","GENERAL PABLO GONZÁLEZ GARZA","CALLE","OSCAR F CASTILLO","315",,,,,,"COLONIA","JARDINES DEL CERRO","CENTRO Y PLAZA COMERCIAL","PLAZA REAL MONTERREY","PDA02","64050","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1633","019",,"INFO@ITALIANNIS.COM","WWW.ITALIANNIS.COM.MX","Fijo","25.67982154","-100.35188991","2010-07"
"6812309","19046722511000772001003580S9","50269 PASEO LA FE","ITALCAFE SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","11 a 30 personas","AVENIDA","CARRETERA MIGUEL ALEMÁN","CALLE","NINGUNO","AVENIDA","LAS TORRES ORIENTE","AVENIDA","RÓMULO GARZA","200",,,,,,"COLONIA","LA TALAVERNA","CENTRO Y PLAZA COMERCIAL","PASEO LA FE","TR","66470","19","NUEVO LEÓN   ","046","San Nicolás de los Garza","0001","San Nicolás de los Garza","0790","001",,,"WWW.ITALIANNIS.COM.MX","Fijo","25.7184266","-100.21758575","2017-11"
"9315974","19019722511003031000027932S8","50504 TCCF PUNTO VALLE MTY","OPQR SA DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","51 a 100 personas","AVENIDA","RICARDO MARGÁIN ZOZAYA","PRIVADA","NINGUNO","CALLE","RÍO MISSOURI","AVENIDA","MANUEL GÓMEZ MORÍN","555",,,,,,"COLONIA","DEL VALLE",,,,"66220","19","NUEVO LEÓN   ","019","San Pedro Garza García","0001","San Pedro Garza García","0098","015",,"COMENTARIOS@THECHEESECAKFACTORY.COM.MX","WWW.THECHEESECAKEFACTORY.COM.MX","Fijo","25.65897481","-100.35269558","2020-11"
"10914266","19026722517005683000000000U2","5CINCO PIZZA Y HELADOS","GRUPO GRENIMAR SA DE CV","722517","Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar","11 a 30 personas","CALLE","TEPANECA","CALLE","TARAHUMARA","CALLE","CHALCA","CALLE","YAQUI","140","A",,,"0",,"FRACCIONAMIENTO","AZTECA",,,,"67150","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","0321","002","8121637766",,,"Fijo","25.68413369","-100.24207175","2024-11"
"11689462","19026722511002581000000000U4","800K GOURMET",,"722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","0 a 5 personas","AVENIDA","BENITO JUAREZ","CALLE","MIER Y NORIEGA","CALLE","VICENTE GUERRERO","CALLE","INDEPENDENCIA","0","SN",,,"222",,"COLONIA","CENTRO",,,,"67100","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","0302","006","8180209459",,,"Fijo","25.67965045","-100.25666683","2024-11"
"6812369","19039722511004513001003155S8","81093 VIPS PASEO DE LOS LEONES","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","PASEO DE LOS LEONES","CALLE","PASEO DE LAS ESTRELLAS","CALLE","NINGUNO","CALLE","PASEO DE LOS TRIUNFADORES","610",,,,,,"COLONIA","BOSQUES LAS CUMBRES","CENTRO Y PLAZA COMERCIAL","SAMS","SN","64610","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","395A","002",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.72812933","-100.39476164","2017-11"
"6366405","19039722110000051002003155S4","81099 VIPS MONTERREY LAS TORRES","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","EUGENIO GARZA SADA","CALLE","NINGUNO","AVENIDA","LÁZARO CÁRDENAS","CALLE","SANTA ROSALÍA","6101",,,,,,"COLONIA","PARQUE PUNTA LOMA",,,,"64870","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","2307","022",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.61593988","-100.27128702","2010-07"
"6364948","19026722110000091001003155S7","81114 VIPS MIGUEL ALEMAN","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","MIGUEL ALEMÁN","AVENIDA","LAS AMÉRICAS","AVENIDA","GENERAL BONIFACIO SALINAS LEAL","BOULEVARD","MIGUEL DE LA MADRID","7000",,,,,,"COLONIA","TORRES LINDAVISTA G",,,,"67138","19","NUEVO LEÓN   ","026","Guadalupe","0001","Guadalupe","132A","002",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.69336145","-100.24078216","2010-07"
"6364950","19039722110000021002003155S7","81116 VIPS GONZALITOS","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","DOCTOR JOSÉ ELEUTERIO GONZÁLEZ","CALLE","IXTAPA","OTRO(ESPECIFIQUE)","MANZANA O EDIFICACIÓN CONTIGUA","CALLE","TAMUÍN","400",,,,,,"COLONIA","MITRAS DEL NORTE",,,,"64320","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","0620","038",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.70830975","-100.35058385","2010-07"
"6311750","19046722110000151002003155S7","81117 VIPS SAN NICOLAS DE LOS GARZA","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","UNIVERSIDAD","CALLE","18 DE DICIEMBRE","CALLE","FRAY BARTOLOMÉ DE LAS CASAS","CALLE","PRIMERO DE ENERO","407",,,,,,"COLONIA","ROBLE SAN NICOLAS",,,,"66414","19","NUEVO LEÓN   ","046","San Nicolás de los Garza","0001","San Nicolás de los Garza","0184","009",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.74427917","-100.30123203","2010-07"
"6371315","19039722110000361002003155S7","81154 VIPS PADRE MIER MTY","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","CALLE","FRAY SERVANDO TERESA DE MIER","CALLE","EMILIO CARRANZA","CALLE","HERMENEGILDO GALEANA","CALLE","MARIANO MATAMOROS","355","ORIENTE",,,,,"COLONIA","CENTRO",,,,"64000","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","1741","024",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.66837877","-100.31310433","2010-07"
"6371306","19039722110000661002003155S0","81157 VIPS MONTERREY CONSTITUCION","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","CONSTITUCIÓN","CALLE","SANTOS DEGOLLADO","CALLE","BAUDELAIRE","CALLE","MIGUEL HIDALGO Y COSTILLA","1804",,,,,,"COLONIA","CENTRO",,,,"64040","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","4159","025",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.66899599","-100.33928246","2010-07"
"6370131","19039722110000391001003155S4","81191 VIPS MONTERREY LINCON","OPERADORA VIPS S DE RL DE CV","722511","Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida","31 a 50 personas","AVENIDA","ABRAHAM LINCOLN (VILLA DE GARCIA)","CALLE","MARÍA DE JESÚS CANDÍA","CALLE","PINGUINO","CALLE","SITIO DE MAZATLÁN","5400",,,,,,"COLONIA","SANTA CECILIA",,,,"64150","19","NUEVO LEÓN   ","039","Monterrey","0001","Monterrey","025A","029",,"DPD@ALSEA.NET","WWW.VIPS.COM.MX","Fijo","25.72885969","-100.3688925","2010-07"
